enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,training_duration_seconds,peak_ram_mb,summary_freq,os,gpu_available,gpu,gpu_memory_gb,final_mean_reward
FoodCollector,ppo,0.0005680508332887,2048,308,4,672728,672728,63.7791481018066,28,128,8192,0.005570678204744,0.229077364226826,0.977029914488713,10.0,5.24733820000256,447.75,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
FoodCollector,ppo,0.0006342074104223,256,1018,2,548716,548716,63.7791481018066,28,1024,4096,0.0051292253426209,0.140491005941018,0.957738433789248,10.0,5.52383990000089,447.30078125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0
BigWallJump,ppo,0.0009243431757264,2048,500,2,2503192,779634,63.7791481018066,28,512,4096,0.0039023231351945,0.170809268756742,0.976457246466903,7.0,1935.532797,1792.91015625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.13035106785754
BigWallJump,ppo,0.000326923739586,2048,834,2,1057673,836930,63.7791481018066,28,128,10240,0.0065237271075168,0.208317444626622,0.917671806429556,9.0,844.363143500006,1589.8828125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.06456671531002
3DBall,ppo,0.000279,512,64,2,1992000,2000000,7.99999572336674,8,1024,20480,0.003939,0.186,0.931,3.0,2463.354492,3958.0,12000,macOS,False,Chipset Model: Apple M2,0.0,100.0000153
3DBall,ppo,5.9e-05,4096,256,1,96000,100000,7.99999572336674,8,256,163840,0.006767,0.154,0.915,3.0,66.22098541,3740.666748,12000,macOS,False,Chipset Model: Apple M2,0.0,1.131970167
3DBall,ppo,0.000141,2048,128,1,492000,500000,7.99999572336674,8,128,40960,0.001301,0.265,0.947,3.0,380.6304016,3793.333252,12000,macOS,False,Chipset Model: Apple M2,0.0,2.045931578
3DBall,ppo,0.000157,2048,64,2,492000,500000,7.99999572336674,8,512,40960,0.000438,0.101,0.922,8.0,440.3202209,3824.333252,12000,macOS,False,Chipset Model: Apple M2,0.0,4.785784721
3DBall,ppo,3.4e-05,2048,128,3,996000,1000000,7.99999572336674,8,128,81920,0.001771,0.255,0.949,3.0,807.5582886,3815.666748,12000,macOS,False,Chipset Model: Apple M2,0.0,2.661755323
3DBall,ppo,0.000229,4096,512,1,492000,500000,7.99999572336674,8,256,327680,0.008808,0.281,0.926,8.0,408.8299866,3835.666748,12000,macOS,False,Chipset Model: Apple M2,0.0,1.208269238
3DBall,ppo,0.000223,4096,512,3,492000,500000,7.99999572336674,8,1024,163840,0.00446,0.139,0.941,5.0,479.4740295,3749.0,12000,macOS,False,Chipset Model: Apple M2,0.0,1.460683703
3DBall,ppo,9.9e-05,2048,32,1,996000,1000000,7.99999572336674,8,128,163840,0.008701,0.233,0.911,4.0,738.526123,3784.0,12000,macOS,False,Chipset Model: Apple M2,0.0,2.100799799
3DBall,ppo,2.4e-05,2048,64,3,996000,1000000,7.99999572336674,8,64,40960,0.003483,0.137,0.901,10.0,4814.585449,3875.333252,12000,macOS,False,Chipset Model: Apple M2,0.0,3.368148088
3DBall,ppo,9.6e-05,512,512,2,996000,1000000,7.99999572336674,8,256,40960,0.002301,0.12,0.915,3.0,35765.72656,3834.5,12000,macOS,False,Chipset Model: Apple M2,0.0,100.0000153
